%TITLE%
 MAF   241116/0000 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
  280.00,  10041.89,    -35.12,    -59.55,    265.00,     75.99
  258.00,  10604.32,    -39.92,    -57.80,    265.00,     84.00
  252.00,  10766.05,    -41.30,    -57.30,  -9999.00,  -9999.00
  250.00,  10820.00,    -41.70,    -57.70,    265.00,     87.01
  248.00,  10873.85,    -42.18,    -57.90,    265.00,     88.00
  239.00,  11121.67,    -44.37,    -58.83,    265.00,     87.01
  229.00,  11408.21,    -46.90,    -59.90,  -9999.00,  -9999.00
  226.00,  11495.00,    -47.68,    -60.19,    265.00,     92.00
  217.00,  11762.44,    -50.10,    -61.10,  -9999.00,  -9999.00
  215.00,  11822.32,    -50.62,    -61.28,    265.00,     90.00
  200.00,  12290.00,    -54.70,    -62.70,    265.00,     93.01
  198.00,  12354.18,    -55.26,    -62.86,    265.00,     93.01
  195.00,  12451.67,    -56.10,    -63.10,  -9999.00,  -9999.00
  185.00,  12783.65,    -58.15,    -67.72,    265.00,     93.01
  178.00,  13026.90,    -59.66,    -71.11,    265.00,     92.00
  176.00,  13098.16,    -60.10,    -72.10,  -9999.00,  -9999.00
  175.00,  13133.67,    -60.43,    -72.43,    260.00,     94.00
  173.00,  13205.32,    -61.10,    -73.10,  -9999.00,  -9999.00
  166.00,  13461.19,    -62.70,    -74.70,  -9999.00,  -9999.00
  161.00,  13648.67,    -64.24,    -75.14,    260.00,     90.00
  157.00,  13802.90,    -65.50,    -75.50,  -9999.00,  -9999.00
  156.00,  13841.73,    -65.63,    -75.63,    260.00,     92.00
  153.00,  13959.75,    -66.03,    -76.03,    260.00,     88.00
  151.00,  14039.71,    -66.30,    -76.30,  -9999.00,  -9999.00
  150.00,  14080.00,    -66.50,    -76.50,    260.00,     77.99
  146.00,  14241.92,    -67.55,    -77.27,    265.00,     72.01
  137.00,  14623.08,    -70.02,    -79.09,    255.00,     58.00
  136.00,  14666.97,    -70.30,    -79.30,    255.00,     60.01
  134.00,  14754.90,    -70.30,    -79.30,  -9999.00,  -9999.00
  131.00,  14889.42,    -70.10,    -79.60,    250.00,     69.00
  129.00,  14980.82,    -69.97,    -79.80,    250.00,     70.01
  128.00,  15027.05,    -69.90,    -79.90,  -9999.00,  -9999.00
  124.00,  15215.39,    -70.39,    -80.88,    245.00,     58.99
  120.00,  15409.90,    -70.90,    -81.90,  -9999.00,  -9999.00
  119.00,  15459.62,    -70.59,    -81.98,    255.00,     66.01
  115.00,  15662.75,    -69.30,    -82.30,    260.00,     56.99
  110.00,  15926.31,    -70.47,    -83.96,    245.00,     43.01
  105.00,  16202.14,    -71.70,    -85.70,  -9999.00,  -9999.00
  104.00,  16258.60,    -71.57,    -85.90,    235.00,     48.00
  102.00,  16373.16,    -71.30,    -86.30,    240.00,     48.00
  100.00,  16490.00,    -71.70,    -86.70,    240.00,     43.01
   97.00,  16668.21,    -72.51,    -87.74,    245.00,     41.01
   93.00,  16914.58,    -73.64,    -89.18,    255.00,     40.00
   88.00,  17237.90,    -75.12,    -91.07,    245.00,     42.00
   87.40,  17277.93,    -75.30,    -91.30,  -9999.00,  -9999.00
   85.40,  17412.21,    -75.10,    -92.10,    245.00,     46.00
   85.00,  17439.82,    -74.88,    -92.01,    245.00,     46.00
   82.00,  17651.09,    -73.16,    -91.28,    235.00,     37.01
   80.00,  17796.28,    -71.98,    -90.78,    240.00,     42.00
   76.60,  18051.64,    -69.90,    -89.90,  -9999.00,  -9999.00
   76.00,  18098.57,    -69.67,    -89.96,    245.00,     29.99
   74.50,  18217.54,    -69.10,    -90.10,  -9999.00,  -9999.00
   73.00,  18339.16,    -69.10,    -90.10,    230.00,     24.01
   72.10,  18413.34,    -69.10,    -90.10,  -9999.00,  -9999.00
   72.00,  18421.63,    -69.11,    -90.11,    230.00,     27.00
   70.00,  18590.00,    -69.30,    -90.30,    250.00,     27.00
   68.90,  18684.06,    -69.70,    -90.70,  -9999.00,  -9999.00
   67.00,  18850.22,    -69.10,    -91.10,  -9999.00,  -9999.00
   66.00,  18939.79,    -68.90,    -91.40,    275.00,     23.00
   65.00,  19030.72,    -68.70,    -91.70,  -9999.00,  -9999.00
   64.20,  19104.56,    -68.70,    -91.70,  -9999.00,  -9999.00
   64.00,  19123.20,    -68.66,    -91.71,    250.00,     16.01
   63.00,  19217.28,    -68.44,    -91.77,    240.00,     20.01
   62.00,  19312.86,    -68.22,    -91.82,    250.00,     23.00
   60.60,  19449.30,    -67.90,    -91.90,  -9999.00,  -9999.00
   59.00,  19609.30,    -68.09,    -92.55,    220.00,      6.00
   58.00,  19711.52,    -68.20,    -92.96,    195.00,      8.99
   57.20,  19794.57,    -68.30,    -93.30,  -9999.00,  -9999.00
   57.00,  19815.80,    -68.14,    -93.25,    200.00,     13.00
   55.00,  20032.30,    -66.55,    -92.72,    240.00,     14.01
   54.00,  20143.52,    -65.73,    -92.44,    245.00,     12.00
   52.00,  20372.27,    -64.05,    -91.88,    185.00,      6.00
   51.00,  20489.97,    -63.18,    -91.59,    170.00,      8.00
   50.00,  20610.00,    -62.30,    -91.30,    170.00,     13.00
   49.60,  20659.68,    -61.90,    -90.90,  -9999.00,  -9999.00
   49.00,  20735.56,    -61.64,    -90.64,    130.00,      8.00
   47.00,  20995.37,    -60.73,    -89.73,    160.00,     13.00
   46.00,  21129.45,    -60.26,    -89.26,    330.00,      2.00
   45.00,  21266.48,    -59.79,    -88.79,     25.00,      4.99
   44.00,  21406.59,    -59.30,    -88.30,     25.00,      0.99
   43.20,  21520.99,    -58.90,    -87.90,  -9999.00,  -9999.00
   40.30,  21956.06,    -60.10,    -88.10,  -9999.00,  -9999.00
   40.00,  22002.67,    -60.21,    -88.48,    350.00,     14.01
   39.20,  22128.68,    -60.50,    -89.50,  -9999.00,  -9999.00
   38.10,  22306.13,    -60.30,    -89.30,  -9999.00,  -9999.00
   38.00,  22322.53,    -60.30,    -89.30,    120.00,      2.00
   37.20,  22455.18,    -60.50,    -88.50,  -9999.00,  -9999.00
   36.00,  22659.23,    -60.88,    -88.88,    205.00,     10.00
   35.30,  22781.42,    -61.10,    -89.10,  -9999.00,  -9999.00
   35.00,  22834.86,    -60.93,    -89.04,    215.00,      4.99
   34.00,  23016.35,    -60.36,    -88.82,    235.00,      4.00
   33.00,  23203.26,    -59.77,    -88.60,    220.00,     10.99
   32.00,  23395.92,    -59.17,    -88.38,    265.00,      6.99
   30.00,  23800.00,    -57.90,    -87.90,    225.00,     12.00
   28.30,  24168.20,    -57.10,    -87.10,  -9999.00,  -9999.00
